Family	Subclass	Ambler_class	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
blaOXA-114_fam	BETA-LACTAM	bla-D	7	7	14	21	21	21	23	23	23	26	26	26	26
blaOXA-134_fam	CARBAPENEM	bla-D	1	1	5	16	16	17	18	18	21	21	22	24	24
blaOXA-143_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	0	1	1	2	2
blaOXA-143_fam	CARBAPENEM	bla-D	2	2	3	5	5	6	6	6	7	7	7	7	7
blaOXA-184_fam	BETA-LACTAM	bla-D	0	0	2	2	2	8	8	8	39	39	39	39	39
blaOXA-211_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	1	1	5	5	5	6	6
blaOXA-211_fam	CARBAPENEM	bla-D	0	2	2	7	8	9	10	10	11	11	11	11	11
blaOXA-213_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	3	6	22	22	41	41
blaOXA-213_fam	CARBAPENEM	bla-D	0	1	1	31	33	37	41	43	44	44	44	44	44
blaOXA-214_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	0	1	2	2	2
blaOXA-214_fam	CARBAPENEM	bla-D	0	2	2	4	4	4	4	4	5	5	5	5	5
blaOXA-229_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	0	1	3	7	7
blaOXA-229_fam	CARBAPENEM	bla-D	0	0	3	8	9	9	9	9	9	9	9	9	9
blaOXA-266_fam	BETA-LACTAM	bla-D	0	0	0	1	1	1	1	1	2	2	2	2	2
blaOXA-274_fam	CARBAPENEM	bla-D	0	0	0	2	4	5	5	5	5	5	5	5	5
blaOXA-286_fam	CARBAPENEM	bla-D	0	0	0	10	13	13	13	15	15	15	15	15	15
blaOXA-364_fam	BETA-LACTAM	bla-D	0	0	1	1	1	2	3	3	3	5	5	5	5
blaOXA-372_fam	CARBAPENEM	bla-D	0	0	0	0	1	1	1	1	2	2	2	3	3
blaOXA-493_fam	BETA-LACTAM	bla-D	0	0	0	0	0	1	2	2	2	2	2	2	2
blaOXA-542_fam	CARBAPENEM	bla-D	0	0	0	0	0	0	0	1	1	1	1	1	1
blaOXA-548_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	6	6	6	6	6	6
blaOXA-576_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	1	1	1	1	1	1
blaOXA-727_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	2	2	2	2	2

